inst,group,lrc_dev,sharpe,sharpe_gross,cagr,exposure,inside_pct,trades,win_rate,avg_bars,max_bars,long_trades,short_trades,long_pnl,short_pnl,both_band_bars,bars,start,end
HDFCBANK,NSE 1h stock,0.5,-0.9042499918057757,-0.535489398426843,-0.08628596768503154,0.1595714688469129,0.26275725965604735,213,0.6197183098591549,7.971830985915493,48,110,103,-0.06670074718805541,-0.3480353456160879,2,10641,2017-01-02,2023-02-28
HDFCBANK,NSE 1h stock,1.0,-1.221553669908401,-0.7524031629207455,-0.1659369036564354,0.30805375434639604,0.5411145569025467,401,0.6109725685785536,8.174563591022444,51,192,209,-0.06819805368945286,-0.7735164103527505,5,10641,2017-01-02,2023-02-28
HDFCBANK,NSE 1h stock,1.5,-1.2743423052607714,-0.7166455147472645,-0.1900614916420636,0.3909407010619303,0.7592331547786862,529,0.6049149338374291,7.863894139886578,51,263,266,-0.18301892243034584,-0.7592592833512469,5,10641,2017-01-02,2023-02-28
HDFCBANK,NSE 1h stock,2.0,-1.118647923045097,-0.5373765463455296,-0.1886046246894163,0.44892397331077905,0.8907057607367729,613,0.6150081566068516,7.792822185970636,51,309,304,-0.03486865937545219,-0.8371362741862599,6,10641,2017-01-02,2023-02-28
HDFCBANK,NSE 1h stock,2.5,-1.2216455554638155,-0.6586480383684974,-0.21660567539558293,0.46734329480312004,0.9462456536039846,636,0.6147798742138365,7.819182389937107,51,321,315,-0.12953066182773204,-0.9308196967611521,6,10641,2017-01-02,2023-02-28
HDFCBANK,NSE 1h stock,3.0,-1.2583286505205153,-0.6997184586710427,-0.22520060694285773,0.47185414904614226,0.9612818344140588,641,0.6131045241809673,7.8330733229329175,51,323,318,-0.16073966221055608,-0.9607925613654331,6,10641,2017-01-02,2023-02-28
ICICIBANK,NSE 1h stock,0.5,-0.27288653398439366,0.018260761557906704,-0.035109726054742135,0.13032428585951,0.2199857680187049,179,0.6256983240223464,7.162011173184357,31,89,90,0.10506355490743596,-0.1833741629294835,0,9837,2017-06-21,2023-02-28
ICICIBANK,NSE 1h stock,1.0,-0.045727948637349594,0.3319995241588076,-0.01909199098395605,0.2518044119142015,0.4727050930161635,331,0.6283987915407855,7.483383685800605,49,170,161,0.3116230469309511,-0.18668078265956184,0,9837,2017-06-21,2023-02-28
ICICIBANK,NSE 1h stock,1.5,-0.058894179097971934,0.37538141782145384,-0.0280737653302133,0.3613906678865508,0.7050930161634644,456,0.6359649122807017,7.796052631578948,49,220,236,0.459535266868105,-0.293871727095227,2,9837,2017-06-21,2023-02-28
ICICIBANK,NSE 1h stock,2.0,0.003854050560397214,0.46548502993169666,-0.02180039966667628,0.43112737623259123,0.8697773711497407,554,0.6353790613718412,7.655234657039712,49,281,273,0.718937397906813,-0.4378117300731254,2,9837,2017-06-21,2023-02-28
ICICIBANK,NSE 1h stock,2.5,-0.1495397429122798,0.3122567236086066,-0.05721705329718782,0.45430517434177087,0.9337196299684863,583,0.6226415094339622,7.665523156089193,49,290,293,0.7493493788666079,-0.6470811446209827,2,9837,2017-06-21,2023-02-28
ICICIBANK,NSE 1h stock,3.0,-0.20203609981256324,0.24050117259814147,-0.07384191043254719,0.46304767713733863,0.9572023991054183,593,0.6205733558178752,7.681281618887015,49,296,297,0.6782306994634854,-0.6528513587503395,2,9837,2017-06-21,2023-02-28
INFY,NSE 1h stock,0.5,-0.5022612289565498,-0.17690646412771727,-0.05878731445107863,0.16885923698552904,0.2458184551775982,216,0.5324074074074074,8.319444444444445,35,98,118,-0.1398300540704237,-0.08517889443885351,0,10642,2017-01-02,2023-02-28
