instrument,class,bars,ac1,ac5,vr2,vr5,vr10,vr20,lower_break_n,lower_excess,lower_t,upper_break_n,upper_excess,upper_t,base_fwd,leverage_corr,after_down_day,after_up_day,reversion_asymmetry
ICICIBANK,IN stock,7191,0.0830524351150134,-0.0023978886017435616,1.0829546752418993,1.0886288121606484,1.023650760970504,1.0600160620764278,487,0.011671961582991466,3.456577633689815,526,-0.0015444803367680774,-0.4323857522974448,0.005444864352097294,-0.039550636476886704,0.005471963647655615,0.009200359692485307,-0.003728396044829692
INFY,IN stock,5497,-0.0015135272971211655,0.00818264314980022,0.9986400534315324,0.9139454611669842,0.877697089773963,0.8725200447775571,391,-0.0004159477680706509,-0.17773636588484698,300,0.006962860343981881,3.3660492643973985,0.003116954479679146,-0.05032637315458252,0.003010056367166122,0.0008774712379960209,0.002132585129170101
TCS,IN stock,5459,-0.0009070398366650616,0.0202506301914133,0.9990960710052615,0.890082169857422,0.8363850358899806,0.8141944607230236,354,0.0006527757284385978,0.2661630943608937,335,0.008844969318412462,4.362525942892716,0.003439488297457587,-0.03733150863646451,0.008968283565382396,0.002661375868163319,0.006306907697219076
ITC,IN stock,5187,-0.028674986772108984,0.009231271126897088,0.970986871118353,0.8938190488065971,0.8546346135504356,0.8055860542099319,347,0.001996941672750564,0.7579799681795257,371,0.0023187973787609914,1.3689802348280575,0.002336141903680812,-0.03510605697440879,0.004252754153240993,-0.0006635693851989133,0.004916323538439906
LT,IN stock,5504,0.07578416552922015,0.008098441217605513,1.0757454275707623,1.0717663299675446,1.0622435908335404,1.1187927782924423,369,-0.0012955473194500298,-0.4244445839661469,437,0.0034789864764229812,1.6577683860119576,0.004820685752119184,-0.051716337083067804,0.005680828669418241,0.006049446179486267,-0.0003686175100680259
SBIN,IN stock,7828,0.06022582186347789,-0.01442001491381292,1.0603422654056796,1.0967144731165488,1.0897691081545193,1.1175829213995543,530,0.0006529164895456157,0.22152681890645512,692,-0.002546132047104232,-1.330682050029338,0.003974605080152862,-0.04310727096408235,0.0028145695845054547,0.009019338099939427,-0.006204768515433972
BHARTIARTL,IN stock,4237,-0.03208713121699455,0.009470904882609035,0.9676322679194496,0.8767587748521919,0.844587640771583,0.8211234903391467,301,-0.00552650822367407,-2.324282985620935,340,0.005067714463423381,2.5480268884672137,0.0025704218808492046,-0.02895860015424812,0.005683519275144078,-0.00046556833593826123,0.006149087611082339
KOTAKBANK,IN stock,5458,0.0341790134651972,-0.020194746448547348,1.034330889047635,1.0494224315799152,1.0130801547012511,1.0157366667613263,370,0.005146938023158054,1.4281382926646855,376,-0.002807485352073467,-0.9478076639274953,0.005200805292288334,-0.046895278848160096,0.005068982692820987,0.009092787572625619,-0.004023804879804632
AXISBANK,IN stock,4714,0.026046901724644165,-0.02700522247938057,1.02595072605197,1.0194490705368102,0.9921642283377216,0.9599933891127853,392,0.0007054495492019013,0.18814375811756553,312,0.00375427613165496,1.3218007709969193,0.004002435798845426,-0.07522671193573051,0.004657162691030244,0.005361300768253363,-0.0007041380772231194
HINDUNILVR,IN stock,4733,-0.04485168516913812,-0.021726709320986005,0.9550091604692776,0.9226792539325206,0.8617517661998766,0.7970801277202126,283,0.0035018617836444685,1.5478906311229572,389,0.002924324025641207,2.020192294225631,0.003017784736787019,0.003461135728435995,0.0056284130704511385,0.0021036750212883606,0.003524738049162778
MARUTI,IN stock,5747,0.03208834760722077,-0.027238741555471655,1.032185630017257,1.0171259863507858,0.9734919001521538,0.9915210885885025,425,-0.004094866647123796,-1.3946681334875404,383,0.0055152322096026106,2.5904804582697945,0.004859988592829557,-0.07149850913343447,0.006469610090364014,0.003616825957414094,0.00285278413294992
ASIANPAINT,IN stock,5715,-0.013701879848512363,0.016239404398167078,0.9861088559413513,0.9651278256668799,0.9598472769903237,0.9229052649020248,414,0.00010290771542742601,0.04796174537534149,459,0.0017069764145462264,1.0570503888593015,0.0045726721021897825,-0.035736995343085956,0.004937039147642958,0.004999807174802539,-6.276802715958138e-05
BAJFINANCE,IN stock,3944,0.009712820407442669,0.007680526683554894,1.0098146693189938,0.9862967142696681,0.9924455850004928,1.0666547007757048,262,-0.011162226875761716,-2.4600412936708316,301,0.0044283186371946465,1.8078292098987971,0.0074762136841662824,-0.07951080553533225,0.004633545320737926,0.0029949715759887887,0.0016385737447491373
