inst,group,sharpe_nogate,trades_nogate,exposure_nogate,S_dev0.5,inside_dev0.5,delta_dev0.5,S_dev1.0,inside_dev1.0,delta_dev1.0,S_dev1.5,inside_dev1.5,delta_dev1.5,S_dev2.0,inside_dev2.0,delta_dev2.0,S_dev2.5,inside_dev2.5,delta_dev2.5,S_dev3.0,inside_dev3.0,delta_dev3.0
HINDUNILVR,NSE 1h stock,-0.04433636113481757,756,0.4544258598007893,-0.5771728521904165,0.23754933283217441,-0.5328364910555989,-0.44974322125520416,0.47415899267055067,-0.40540686012038657,-0.3894532804428118,0.7024995301635031,-0.3451169193079942,-0.2268605629928934,0.8702311595564743,-0.18252420185807583,-0.05921619823265414,0.9430558165758316,-0.014879837097836565,-0.067054911091417,0.9618492764517947,-0.022718549956599422
ASIANPAINT,NSE 1h stock,-0.7214199745330954,714,0.4788692712246431,-0.2764239630746622,0.2555409466566491,0.44499601145843315,-0.6596270825000752,0.49840345604808417,0.061792892033020186,-0.5912567702766042,0.722389181066867,0.1301632042564912,-0.6588112694520173,0.8932193839218633,0.06260870508107808,-0.699707849588343,0.9507888805409467,0.021712124944752387,-0.6811305596247683,0.9616829451540195,0.04028941490832705
BAJFINANCE,NSE 1h stock,-1.4900074198789637,605,0.5084906655416095,-0.23386208238406772,0.23784410927117391,1.2561453374948959,-0.9623180076536715,0.45923425798966355,0.5276894122252922,-1.4118489944834378,0.695918152093661,0.07815842539552587,-1.278717763472099,0.8553950005273705,0.2112896564068647,-1.2209555403556136,0.9242695918152094,0.2690518795233501,-1.4246897326140753,0.9573884611327919,0.0653176872648884
SP500,US daily,0.23381682230241643,278,0.4327171536473862,0.009108122281878723,0.2772808586762075,-0.22470870002053772,0.007668013818145811,0.5215662890081495,-0.22614880848427063,-0.02930692232780166,0.7205326972768833,-0.2631237446302181,0.06759960434801637,0.8425760286225402,-0.16621721795440006,0.16856971919324318,0.9069767441860465,-0.06524710310917325,0.16462445775359333,0.9196978731862453,-0.0691923645488231
NASDAQ,US daily,-0.09828974472139285,254,0.45855694692904,0.01619604816090896,0.2562114887696283,0.1144857928823018,-0.09171685509218669,0.5197773802424965,0.006572889629206158,-0.14238528643995765,0.7084078711985689,-0.04409554171856481,-0.09380955670832597,0.8382031405287219,0.004480188013066877,-0.06894277574275057,0.8958457563108726,0.02934696897864228,-0.07310874657956207,0.9193003379049891,0.02518099814183078
GOOG,US daily,-0.7924974083965026,108,0.5540037243947858,-0.34659844827724046,0.25139664804469275,0.44589896011926217,-0.09014068151904968,0.4795158286778399,0.702356726877453,-0.3857786511727587,0.6261638733705773,0.4067187572237439,-0.5665094514132426,0.7537243947858473,0.22598795698326002,-0.5682606629639063,0.7956238361266295,0.2242367454325963,-0.5682606629639063,0.8142458100558659,0.2242367454325963
EURUSD,US daily,-1.9116154035463004,364,0.54,-1.2143402688968314,0.2516,0.697275134649469,-1.4648918141916802,0.5168,0.4467235893546202,-1.6977788161462486,0.708,0.21383658740005185,-1.82276569442179,0.8326,0.0888497091245104,-1.8410941101521159,0.906,0.07052129339418456,-1.8620497509419844,0.9178,0.049565652604316
NIFTY50,NSE daily,-0.11742109832234687,181,0.4473904549260396,-0.4449461490410777,0.26904828356126154,-0.32752505071873084,-0.3774234524630988,0.5057214624616243,-0.2600023541407519,-0.28148576837307515,0.6589450181412224,-0.16406467005072828,-0.14054215520689406,0.7837008093776165,-0.023121056884547186,-0.08401961931753943,0.8710577728160759,0.033401479004807444,-0.08401961931753943,0.8847334635780073,0.033401479004807444
BANKNIFTY,NSE daily,-0.29125193688916284,197,0.488696622941669,-0.2923820391458961,0.2637454646943902,-0.0011301022567332675,-0.43279877222845253,0.496232207647223,-0.1415468353392897,-0.3550967219795039,0.6497348590566564,-0.06384478509034108,-0.3205821090592024,0.8060284677644433,-0.02933017217003958,-0.25762805864774224,0.8785933575216299,0.0336238782414206,-0.21817243892941135,0.8841752721183366,0.0730794979597515
NIFTY500,NSE daily,-0.3421377501619002,170,0.44348311470834495,-0.49690037220674166,0.2603963159363662,-0.15476262204484148,-0.3919090744596981,0.4750209321797377,-0.0497713242977979,-0.45026056757802807,0.6374546469439017,-0.10812281741612789,-0.41149069563214036,0.7716996929946972,-0.06935294547024018,-0.3500465706392342,0.8442645827518839,-0.007908820477334044,-0.35010960480934594,0.8855707507675132,-0.007971854647445764
RELIANCE,NSE daily,-0.34017250614261835,436,0.49888361708065865,-0.2721139795276684,0.27700251186156855,0.06805852661494993,-0.25643125889169444,0.508791515489813,0.08374124725092391,-0.24052179041143776,0.7331844822774212,0.09965071573118059,-0.24492485518796983,0.8717555121406643,0.09524765095464852,-0.2844224938094948,0.9306447111359196,0.055750012333123544,-0.3029277305665939,0.9443204018978509,0.03724477557602446
HDFCBANK,NSE daily,-0.0412020123783837,563,0.4573131234615883,-0.09456243111080632,0.215831066200285,-0.05336041873242262,-0.19996927979793327,0.4372328021764477,-0.15876726741954958,-0.20422752024461427,0.6785853089778469,-0.16302550786623057,-0.07563609625617033,0.8574944941054541,-0.03443408387778663,-0.07015720279557881,0.9275812929135898,-0.02895519041719511,-0.04257129184535152,0.9448115040808395,-0.0013692794669678196
ICICIBANK,NSE daily,-0.09263336719393336,483,0.474899179529968,-0.12882253986886763,0.23738005840634127,-0.03618917267493427,-0.22346016652935347,0.45348352106800166,-0.1308267993354201,-0.2031139367247008,0.6822416910026422,-0.11048056953076743,-0.07431191614161584,0.852176331525518,0.018321451052317528,-0.04245926491215178,0.9136420525657072,0.05017410228178158,-0.08673315613283272,0.9371436517869559,0.005900211061100641
INFY,NSE daily,0.16474672396371426,362,0.4879024922685101,-0.04374879101501671,0.24831726396216117,-0.20849551497873098,0.002956379525603987,0.46297980716754594,-0.16179034443811027,0.09569054567994313,0.6798253592868837,-0.06905617828377113,0.14035094563301692,0.8550118246316173,-0.024395778330697337,0.17556164338961822,0.9054029470620338,0.010814919425903957,0.18158906863791444,0.9252319446971076,0.016842344674200177
ITC,NSE daily,0.21255481160878079,348,0.44977829188355506,0.012604363468331495,0.2515905147484095,-0.1999504481404493,-0.010467801737706294,0.5153267784846732,-0.22302261334648707,0.051774629686735636,0.7403123192596877,-0.16078018192204516,0.14263410364998302,0.8704453441295547,-0.06992070795879776,0.23756149919351746,0.9180643917486023,0.025006687584736675,0.21387149260294616,0.9230769230769231,0.0013166809941653757
LT,NSE daily,-0.336315258621329,328,0.49037063953488375,-0.1497683967452564,0.2272892441860465,0.18654686187607258,-0.19223684793564,0.4640261627906977,0.144078410685689,-0.3742187262299631,0.659156976744186,-0.03790346760863411,-0.3736919211387172,0.8204941860465116,-0.03737666251738819,-0.3600022497858889,0.9067950581395349,-0.023686991164559912,-0.3499333084203883,0.9236918604651163,-0.013618049799059284
AXISBANK,NSE daily,-0.15058807294174803,276,0.4700890963088672,-0.1754752302411082,0.2422571064913025,-0.02488715729936017,-0.2055215010123197,0.46690708527789565,-0.054933428070571666,-0.22729991673212532,0.6414934238438693,-0.0767118437903773,-0.31939052831334286,0.8220195163343232,-0.16880245537159483,-0.2007293776835422,0.8875689435723377,-0.05014130474179418,-0.16375626826662057,0.9128128977513789,-0.01316819532487254
KOTAKBANK,NSE daily,-0.1878155372563247,358,0.4765481861487724,-0.06961651139395277,0.2735434224990839,0.11819902586237192,-0.0804865379947155,0.5470868449981678,0.10732899926160919,-0.14967688944423005,0.7409307438622206,0.03813864781209464,-0.16484571067025577,0.8596555514840601,0.022969826586068914,-0.11571571296221912,0.9100403078050568,0.07209982429410557,-0.11740905239063053,0.923415170392085,0.07040648486569416
BHARTIARTL,NSE daily,0.22043304177889758,305,0.47722445126268587,-0.10070255867497445,0.23318385650224216,-0.321135600453872,0.06989880548768272,0.4713240500354024,-0.15053423629121487,0.15307429869384023,0.6672173707812131,-0.06735874308505735,0.1660696278311548,0.8350247816851546,-0.05436341394774277,0.18584028204682188,0.8956809063016286,-0.034592759732075706,0.17501386521971246,0.905829596412556,-0.04541917655918512
MARUTI,NSE daily,-0.5082474794393869,365,0.5032190708195581,-0.17579341185209668,0.2523055507221159,0.3324540675872902,-0.278106155955913,0.4854706803549678,0.23014132348347388,-0.3376039963640673,0.7081955803027666,0.17064348307531957,-0.457023737211901,0.8393944666782669,0.05122374222748588,-0.3997409946940191,0.9051679136941013,0.10850648474536778,-0.3996406914417033,0.9258743692361232,0.10860678799768358
HINDUNILVR,NSE daily,-0.09961066640086016,326,0.4720050707796324,0.004306857195295473,0.2854426368054088,0.10391752359615564,-0.1034856168052381,0.5402493133319248,-0.003874950404377936,-0.10152894519173011,0.7515317980139447,-0.0019182787908699483,-0.10285325267054599,0.8573843228396366,-0.003242586269685821,-0.1251116267615613,0.9083034016480034,-0.025500960360701125,-0.12180991045202574,0.9156982886118741,-0.02219924405116558
ASIANPAINT,NSE daily,-0.3708091971010278,440,0.49098862642169727,-0.25916873098184107,0.27331583552055994,0.11164046611918671,-0.20072820257596255,0.520909886264217,0.17008099452506523,-0.3062234611102504,0.6997375328083989,0.06458573599077738,-0.311674322615266,0.8421697287839021,0.05913487448576177,-0.3433018154041599,0.9111111111111111,0.027507381696867894,-0.32474969329224557,0.9284339457567804,0.04605950380878221
BAJFINANCE,NSE daily,-0.6280540800592799,246,0.5152129817444219,-0.2187799836764767,0.2281947261663286,0.4092740963828032,-0.4035246158798721,0.4672920892494929,0.22452946417940778,-0.5744248849959817,0.6523833671399595,0.05362919506329822,-0.6348575476899878,0.8075557809330629,-0.006803467630707938,-0.6533493774428721,0.875,-0.025295297383592263,-0.6002658527700998,0.8932555780933062,0.027788227289180067
