instrument,year,strategy,buy_hold,sharpe,bars
WTI,2010,0.15044195902297286,0.15102657765461713,0.8980860184644818,252
WTI,2011,-0.12376803359593458,0.08152768658349707,-0.3565942181523011,252
WTI,2012,-0.11012699309309648,-0.0708286957401586,-0.49207976573394935,252
WTI,2013,-0.08545821259525055,0.06904061853424937,-0.6008275907138071,252
WTI,2014,-0.21208032001210797,-0.4555363145563821,-1.0639803462354147,252
WTI,2015,-0.20458651077587142,-0.3053320860617387,-0.3978099382966452,252
WTI,2016,-0.448870438673559,0.4476164826286033,-1.3592153487759213,252
WTI,2017,0.1794824860309927,0.12483720930232556,1.3445028809420174,250
WTI,2018,-0.04771553483909741,-0.2532252729077076,-0.08507826613618308,249
GOOG,2004,0.0,0.9213673510065792,0.0,94
GOOG,2005,-0.2159959605041396,1.151875097256085,-0.9039181063877664,252
GOOG,2006,-0.17515786304589231,0.10996480740491132,-0.5484266176322701,251
GOOG,2007,-0.06664941603160135,0.5016504517025713,-0.23547787495172534,251
GOOG,2008,-0.3099601123419081,-0.5550847457627124,-0.7521590654053011,253
GOOG,2009,0.016305780282600102,1.0152120916626046,0.18403216053363786,252
GOOG,2010,-0.056211680580887546,-0.04195296622471645,-0.2019938804693428,252
GOOG,2011,-0.16204257499140373,0.08742865801302968,-0.7145813693988156,252
GOOG,2012,-0.09892438246574509,0.09518501315993344,-0.663081981851641,250
EURUSD,2017,-0.1091230526099497,0.11956836008543426,-3.291409701814949,4358
