inst,variant,sharpe,cagr,win_rate,avg_win,avg_loss,trades,payoff,exp,needs
ITC,"09:15 bars, both sides",-1.2637157792591789,-0.18669518592455403,0.6598984771573604,0.005793635295062499,-0.020146504144378338,394,0.28757521669977415,-0.0030286456310417453,0.5153846153846154
ITC,"09:15 bars, long only",-0.5185887430140983,-0.06197937837731845,0.6903553299492385,0.005579053301829299,-0.018242902165283514,197,0.3058204912399471,-0.0017972882387487813,0.44852941176470595
ITC,"09:30 bars, long only",-0.7570398338249358,-0.07832355925232382,0.5808823529411765,0.006145415753154638,-0.01682432403903239,136,0.365269697546082,-0.0034816075421002187,0.721518987341772
LT,"09:15 bars, both sides",-0.6899477664250173,-0.10559231538701383,0.672514619883041,0.006562824113415814,-0.01861488600730654,342,0.35255784595403034,-0.0016825078559435528,0.4869565217391304
LT,"09:15 bars, long only",0.4319250939656818,0.03506327722853406,0.7177914110429447,0.006614184615093329,-0.012456215876935657,163,0.530994700191442,0.0012323538013918963,0.3931623931623932
LT,"09:30 bars, long only",-0.07712625563810942,-0.010238103287602624,0.6230769230769231,0.007104330045644388,-0.01269358437519451,130,0.5596787980176423,-0.00035796077451796544,0.6049382716049383
AXISBANK,"09:15 bars, both sides",-0.7304974031525865,-0.1433957941604258,0.6690647482014388,0.007516414427458036,-0.021271399362938828,417,0.35335777864026613,-0.0020104879779970436,0.4946236559139786
AXISBANK,"09:15 bars, long only",0.09876671171840821,0.004565678225895966,0.714975845410628,0.007809802681845021,-0.01862222920067446,207,0.41938065511309275,0.00027603514045057825,0.39864864864864874
AXISBANK,"09:30 bars, long only",0.27577286410112584,0.025307110066466354,0.6666666666666666,0.00941434007650958,-0.015611661511823867,165,0.6030325516204283,0.0010723395470650966,0.5000000000000001
KOTAKBANK,"09:15 bars, both sides",-0.2450815504301994,-0.04972325022764791,0.6903073286052009,0.006711404997249466,-0.016819446560463944,423,0.39902650620059044,-0.0005759272818532685,0.4486301369863014
KOTAKBANK,"09:15 bars, long only",0.14509263328951205,0.009981409001237751,0.7053140096618358,0.007181419679122439,-0.015843996264254957,207,0.4532581022708374,0.0003961521789001155,0.41780821917808214
KOTAKBANK,"09:30 bars, long only",0.13237283845527464,0.008258271465577937,0.6707317073170732,0.0072050021774477686,-0.013488602023774224,164,0.5341548490161286,0.0003912544526551622,0.4909090909090908
BHARTIARTL,"09:15 bars, both sides",-0.5042164248180313,-0.10233056342833298,0.6824644549763034,0.008592239526029742,-0.023054450085183815,422,0.3726933192629754,-0.0014567093078627132,0.4652777777777777
BHARTIARTL,"09:15 bars, long only",0.43153913983093395,0.04568097641949972,0.6941747572815534,0.009107289512706559,-0.015941285274417745,206,0.5713020848652495,0.0014468030486831079,0.4405594405594405
BHARTIARTL,"09:30 bars, long only",0.2563930418497238,0.022978757621750265,0.6608187134502924,0.00888949466870049,-0.014356915595541113,171,0.6191785839753309,0.001004747327612695,0.5132743362831858
SBIN,"09:15 bars, both sides",-1.6152977037290694,-0.2682839512047382,0.5483870967741935,0.008738547829353252,-0.023583158331236715,310,0.370541880210283,-0.0058583517270422185,0.8235294117647061
SBIN,"09:15 bars, long only",-0.8527483993854257,-0.10210842141861097,0.5394736842105263,0.009383593929380402,-0.019862156760699197,152,0.47243580052431705,-0.004084843888419413,0.8536585365853658
SBIN,"09:30 bars, long only",-1.1156555843076184,-0.12489302062226579,0.55,0.0083588524045256,-0.024659966270495364,120,0.33896447030126814,-0.006499615999233832,0.818181818181818
MARUTI,"09:15 bars, both sides",-1.7217277308682029,-0.24158297554361738,0.6449864498644986,0.006703798359308815,-0.024582737366100255,369,0.2727034934910623,-0.004403345760009854,0.550420168067227
MARUTI,"09:15 bars, long only",-0.8025650339238731,-0.08172212147620703,0.6648648648648648,0.00670230401721847,-0.02118367885174591,185,0.3163899936420194,-0.0026432686199479713,0.5040650406504066
MARUTI,"09:30 bars, long only",-0.6916234529557634,-0.06602135089645805,0.6137931034482759,0.00650016474856962,-0.017388461704994664,145,0.3738205747494335,-0.002725787536944863,0.6292134831460674
HINDUNILVR,"09:15 bars, both sides",-0.5597740485716594,-0.07588308220507645,0.6929133858267716,0.006234819704009795,-0.01782049688740256,381,0.3498678933255354,-0.0011522460209121088,0.4431818181818182
HINDUNILVR,"09:15 bars, long only",0.1406719222140882,0.008167698307020453,0.7204301075268817,0.006094362105904315,-0.01439451042508352,186,0.4233809921929981,0.0003662902155206196,0.38805970149253727
HINDUNILVR,"09:30 bars, long only",-0.18121357171358518,-0.017747605353047965,0.6875,0.006224723390940096,-0.015723191355545625,144,0.3958943989284093,-0.0006339999673366913,0.45454545454545453
ASIANPAINT,"09:15 bars, both sides",-0.7358923828324931,-0.11710599300948864,0.6932989690721649,0.00682390877128044,-0.021055272275980207,388,0.32409501439053506,-0.001726664797338161,0.44237918215613387
ASIANPAINT,"09:15 bars, long only",-0.42142464566388727,-0.053577971470646205,0.7028571428571428,0.006641785646347715,-0.021511891807148516,175,0.3087494910206184,-0.0017238785112625946,0.42276422764227645
ASIANPAINT,"09:30 bars, long only",-0.4687523996725703,-0.050828071562867394,0.673469387755102,0.0070688627120072175,-0.020636206137891716,147,0.3425466224156163,-0.0019776903818373324,0.4848484848484849
BAJFINANCE,"09:15 bars, both sides",-1.143147108507528,-0.1967112830781966,0.6109324758842444,0.008497706097266614,-0.022817508966407198,311,0.37242041231482625,-0.003686027094709371,0.6368421052631579
BAJFINANCE,"09:15 bars, long only",-0.040278100548739655,-0.01370861370595999,0.6604938271604939,0.008887630061986418,-0.018116408029481456,162,0.490584560003466,-0.00028040756166008117,0.514018691588785
BAJFINANCE,"09:30 bars, long only",-0.3266050802584594,-0.05024028218867204,0.6218487394957983,0.010066032093453667,-0.022082223700790406,119,0.4558432262006913,-0.0020908713581512346,0.6081081081081081
