inst,horizon,event,subset,n,fade_excess,t
LT,20,lower touch,blue inside,1211,0.0022745140105166328,0.6501844943734639
LT,20,upper touch,all,1337,-0.0008648923407736917,-0.25144205441880063
LT,20,upper touch,blue inside,1211,-0.0006268188094301291,-0.1745386261519092
AXISBANK,5,lower touch,all,1441,-0.0002667580318512069,-0.23247609549765064
AXISBANK,5,lower touch,blue inside,1275,0.0005767538829061378,0.49883729594705334
AXISBANK,5,upper touch,all,1514,1.155130291192342e-06,0.0011589323695212043
AXISBANK,5,upper touch,blue inside,1377,5.978364310862859e-05,0.05743602213682797
AXISBANK,10,lower touch,all,1441,0.00014694061508551347,0.06216514546001843
AXISBANK,10,lower touch,blue inside,1275,0.001615434593660748,0.6796179918799046
AXISBANK,10,upper touch,all,1514,0.00029083569377101864,0.1496532605055584
AXISBANK,10,upper touch,blue inside,1377,0.00040058542466263786,0.19661426284224343
AXISBANK,20,lower touch,all,1441,0.0013015384290919702,0.23928655248337627
AXISBANK,20,lower touch,blue inside,1275,0.003672957404272368,0.7997803852116697
AXISBANK,20,upper touch,all,1511,0.0011691430673579405,0.32322625042188824
AXISBANK,20,upper touch,blue inside,1374,0.001418079468817825,0.3681440984141363
KOTAKBANK,5,lower touch,all,1289,0.001223510766323883,1.195041950424374
KOTAKBANK,5,lower touch,blue inside,1194,0.0012922541119899339,1.253335234514289
KOTAKBANK,5,upper touch,all,1614,0.0008452258998424527,0.9978979972486174
KOTAKBANK,5,upper touch,blue inside,1398,0.0012139295369741482,1.4078455033305426
KOTAKBANK,10,lower touch,all,1289,0.002004711988745812,1.0375054390051615
KOTAKBANK,10,lower touch,blue inside,1194,0.0019525762153571435,1.0145150199067872
KOTAKBANK,10,upper touch,all,1610,0.0012745600561722466,0.8106394283428676
KOTAKBANK,10,upper touch,blue inside,1394,0.0015834596560062363,0.9675857185559112
KOTAKBANK,20,lower touch,all,1288,0.0010872203697275494,0.2663807198405388
KOTAKBANK,20,lower touch,blue inside,1193,0.0009693231968112678,0.2577933237982143
KOTAKBANK,20,upper touch,all,1607,0.0019225254764368056,0.6443980035188908
KOTAKBANK,20,upper touch,blue inside,1391,0.002248245772915843,0.697428554044062
BHARTIARTL,5,lower touch,all,1557,0.0012112437559132023,1.267350421760492
BHARTIARTL,5,lower touch,blue inside,1410,0.0008722523865115246,0.8991731889332284
BHARTIARTL,5,upper touch,all,1494,-0.00022716587751615933,-0.2210289743124686
BHARTIARTL,5,upper touch,blue inside,1328,-0.0003401213319239364,-0.3128226648423294
BHARTIARTL,10,lower touch,all,1557,0.0023448102441966704,1.2780390750199613
BHARTIARTL,10,lower touch,blue inside,1410,0.0016793646502403694,0.8813046643366836
BHARTIARTL,10,upper touch,all,1494,0.0009115028564755497,0.4699638304028929
BHARTIARTL,10,upper touch,blue inside,1328,0.0004714950290351129,0.23122395131929607
BHARTIARTL,20,lower touch,all,1552,0.0033845427850555552,0.8587392850873582
BHARTIARTL,20,lower touch,blue inside,1405,0.0028077477732411315,0.6975730747544395
BHARTIARTL,20,upper touch,all,1494,0.0016835186311505359,0.4288741087148708
BHARTIARTL,20,upper touch,blue inside,1328,0.0016777177550229092,0.39639976374068436
SBIN,5,lower touch,all,1383,-0.0002699721567480073,-0.2651166143261672
SBIN,5,lower touch,blue inside,1190,-0.00042882295345772774,-0.40370543052600194
SBIN,5,upper touch,all,1554,-0.0010097351779920782,-0.7824867072459986
SBIN,5,upper touch,blue inside,1344,-0.0008862772227400332,-0.6375486512709029
SBIN,10,lower touch,all,1383,0.00014743841492058344,0.07393676561219639
SBIN,10,lower touch,blue inside,1190,-0.0002863956218332804,-0.13610447244673016
SBIN,10,upper touch,all,1551,-0.00027286021195900854,-0.11598741296043677
SBIN,10,upper touch,blue inside,1341,0.00024462689750838105,0.09738931844221704
SBIN,20,lower touch,all,1383,0.0008246774145678703,0.16880735503214306
SBIN,20,lower touch,blue inside,1190,0.0010851662379456237,0.21589133238727648
SBIN,20,upper touch,all,1549,-0.0003920820243385595,-0.08715304716145818
SBIN,20,upper touch,blue inside,1339,0.0003702626380680074,0.07623926553179913
MARUTI,5,lower touch,all,1497,-0.0019413667062900461,-2.208059514639241
MARUTI,5,lower touch,blue inside,1347,-0.0017024422873333667,-1.9054596419475271
MARUTI,5,upper touch,all,1569,-0.0011291072771248917,-1.3913830013590607
MARUTI,5,upper touch,blue inside,1401,-0.0011203496842070353,-1.2889440392070919
MARUTI,10,lower touch,all,1495,-0.0017893113694566402,-0.9518163011174399
MARUTI,10,lower touch,blue inside,1345,-0.0015517437365638665,-0.811781684466008
MARUTI,10,upper touch,all,1569,-0.0005399422145972997,-0.3237843863112232
MARUTI,10,upper touch,blue inside,1401,-0.0007814821684935857,-0.4315724571504127
MARUTI,20,lower touch,all,1490,-0.0010347259476966755,-0.2386814831664203
MARUTI,20,lower touch,blue inside,1340,-0.0002450336556988395,-0.05840370950574944
MARUTI,20,upper touch,all,1569,-0.0009503848142984989,-0.30195879101333223
MARUTI,20,upper touch,blue inside,1401,-0.0011129253581081263,-0.32669037101689846
HINDUNILVR,5,lower touch,all,1322,0.0004617212976874023,0.6211872066028723
HINDUNILVR,5,lower touch,blue inside,1182,-3.870119610686273e-05,-0.051490738491014224
HINDUNILVR,5,upper touch,all,1605,0.0007170072357826969,0.9871570156617839
HINDUNILVR,5,upper touch,blue inside,1422,0.0008620530522539512,1.0935787666407826
HINDUNILVR,10,lower touch,all,1320,0.0014097653806083746,0.8382231313522666
HINDUNILVR,10,lower touch,blue inside,1180,0.000245703323037663,0.14725138631166482
HINDUNILVR,10,upper touch,all,1605,0.0015552642514060529,1.151289999599933
HINDUNILVR,10,upper touch,blue inside,1422,0.0017570927515647788,1.1924082679655175
HINDUNILVR,20,lower touch,all,1314,0.0010964679619749926,0.3728951237133839
HINDUNILVR,20,lower touch,blue inside,1174,-0.00011848909295982313,-0.03907652899681618
