inst,group,year,sharpe,ret
ASIANPAINT,NSE 1h,2018,0.7610282235710669,0.12374879819938409
ASIANPAINT,NSE 1h,2019,-0.7615768910129949,-0.1233540337273069
ASIANPAINT,NSE 1h,2020,-0.9734180460676549,-0.22558911670985782
ASIANPAINT,NSE 1h,2021,-1.2413049037696127,-0.24879825855108267
ASIANPAINT,NSE 1h,2022,-2.1555601285309876,-0.4444500745314715
ASIANPAINT,NSE 1h,2023,-2.405214138875646,-0.06293573773539658
BAJFINANCE,NSE 1h,2017,-0.41662167591738175,-0.013295047759978926
BAJFINANCE,NSE 1h,2018,-1.2910825420416494,-0.3268319275699766
BAJFINANCE,NSE 1h,2019,-0.5221545979101764,-0.106258687654642
BAJFINANCE,NSE 1h,2020,-2.1114708087535647,-0.6894650525771516
BAJFINANCE,NSE 1h,2021,-1.8041149827123677,-0.4029798108700645
BAJFINANCE,NSE 1h,2022,-2.1486967839778925,-0.49930045171920134
BAJFINANCE,NSE 1h,2023,-4.258790077111278,-0.17035136558812697
SP500,US daily,1999,,0.0
SP500,US daily,2000,0.09910709824221903,0.008886989706120516
SP500,US daily,2001,-0.7646058811991473,-0.11520292769535441
SP500,US daily,2002,-0.6718895057154479,-0.13103612577553014
SP500,US daily,2003,-0.04185756093874884,-0.005085931447430199
SP500,US daily,2004,-0.7012866167079747,-0.053518301259213696
SP500,US daily,2005,0.1618164069784846,0.010972389204261149
SP500,US daily,2006,1.1029637614784344,0.07309497408698565
SP500,US daily,2007,0.31794431330119377,0.034531495363972986
SP500,US daily,2008,-0.8115788207621919,-0.23268822761514368
SP500,US daily,2009,-0.16621514025051887,-0.03274179230728928
SP500,US daily,2010,-1.1257560376178015,-0.14930508720696523
SP500,US daily,2011,-0.07452433570681698,-0.012287800777030525
SP500,US daily,2012,-0.30677118304905054,-0.027060975148134804
SP500,US daily,2013,-0.5256399027152705,-0.04285876909993113
SP500,US daily,2014,-0.0835707391974777,-0.006820247494275615
SP500,US daily,2015,1.0408127163954197,0.10480313832246226
SP500,US daily,2016,-0.6392647478008884,-0.056864217684797505
SP500,US daily,2017,-1.1893360929154355,-0.056787483237512516
SP500,US daily,2018,-0.06484188562699421,-0.006354126822961215
NASDAQ,US daily,1999,,0.0
NASDAQ,US daily,2000,-0.3237429195647444,-0.08706584392413286
NASDAQ,US daily,2001,-1.2746260412283084,-0.4533301859276935
NASDAQ,US daily,2002,0.014826564145918342,0.0038555790363525473
NASDAQ,US daily,2003,-0.5410080642632831,-0.07416266657699176
