sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,outer,inner,bb_len
-0.7801613563212197,-0.09765212725253755,0.5253984282390131,233,0.6051502145922747,51.227467811158796,259,0.010817375467845038,-0.030072764843906183,0.08952187563534213,-1.3309663003085608,22777,NIFTY,2.1,0.3,100
-4.953475856703148,-0.38664303687442764,0.4627036045133248,2456,0.5248371335504886,4.291123778501628,25,0.001973978714009956,-0.007586567271208773,-2.7388272594919174,-3.570238183649887,22777,NIFTY,2.1,0.6,10
-2.86457672333627,-0.2547266523699661,0.4674452298371164,1304,0.553680981595092,8.162576687116564,46,0.003318912055288426,-0.010611043474213315,-1.4074357299319495,-2.3719370681419556,22777,NIFTY,2.1,0.6,20
-1.3699584341831517,-0.1442475131449955,0.45739122799315096,525,0.5771428571428572,19.777142857142856,86,0.005761510516899272,-0.01656010658741573,-0.6709480507543812,-1.2596579250314315,22777,NIFTY,2.1,0.6,50
-0.756544404419599,-0.08883698853111104,0.4483031127892172,272,0.6286764705882353,37.4264705882353,210,0.008826381590418035,-0.02591807421981661,-0.036609237830835716,-1.071805006409158,22777,NIFTY,2.1,0.6,100
-5.789958876880424,-0.40450476239326244,0.36229529788822057,2806,0.49607982893799,2.940841054882395,19,0.0014824226959020239,-0.0061962095926368305,-3.106125650679105,-3.5917823206137562,22777,NIFTY,2.1,1.0,10
-3.3998464527961016,-0.261531301821859,0.3599683891645081,1516,0.5290237467018469,5.408311345646438,34,0.002473361914221954,-0.008251681367711296,-1.5369316332310907,-2.3711326081087667,22777,NIFTY,2.1,1.0,20
-1.8501964869544112,-0.16865811355605362,0.35509505202616676,594,0.5235690235690236,13.557239057239057,63,0.004730464660404222,-0.01337294502794483,-0.9069790306388551,-1.4063899028838185,22777,NIFTY,2.1,1.0,50
-0.9290324460695796,-0.09793107505174709,0.34236290995302276,312,0.5769230769230769,24.89423076923077,99,0.006725604517984742,-0.01869831116789725,-0.28884745611518425,-0.9687208048099993,22777,NIFTY,2.1,1.0,100
-7.116809302107887,-0.4240919556596496,0.2538086666373974,3381,0.3812481514344868,1.709849157054126,7,0.0007407782619476993,-0.0038714861720289787,-3.3919825561934895,-3.7523033360405504,22777,NIFTY,2.1,1.5,10
-4.582579329413982,-0.2914555649539018,0.2426570663388506,1925,0.505974025974026,2.871168831168831,15,0.0012865635127045484,-0.005998216459323903,-2.050559373647957,-2.4006316177948452,22777,NIFTY,2.1,1.5,20
-2.2027827021351394,-0.15940293406408035,0.2331738156912675,831,0.5535499398315282,6.3910950661853185,38,0.00275036374925683,-0.009427593401961898,-0.8917825231157357,-1.3406873043539864,22777,NIFTY,2.1,1.5,50
-1.1833682090346431,-0.10040697960116832,0.22237344689818678,425,0.5882352941176471,11.84470588235294,61,0.003892547909544788,-0.013043012316215926,-0.49932503215885454,-0.8100651457927356,22777,NIFTY,2.1,1.5,100
-3.659262319748146,-0.32240445934996204,0.5243886376607981,1711,0.5371127995324372,6.9789596727060195,52,0.0030593709109337304,-0.009874387435413622,-2.060614224514053,-2.948338757185438,22777,NIFTY,2.5,0.0,10
-2.1512331543431062,-0.21114302057955597,0.5218861131843526,860,0.5430232558139535,13.78139534883721,63,0.004954965699215118,-0.01353332980569591,-1.0923167731212926,-1.912312858983741,22777,NIFTY,2.5,0.0,20
-0.8643140924084218,-0.1040757443432732,0.48057250735390966,334,0.5838323353293413,32.66766467065868,150,0.009386667621528892,-0.022477829533702743,-0.28606468935918306,-1.0079534296273647,22777,NIFTY,2.5,0.0,50
-0.5342391068574557,-0.06891941219605596,0.47539184264828555,163,0.5828220858895705,66.25766871165644,265,0.014432572211088925,-0.032284296650023935,0.15048895420234248,-0.9747267663505215,22777,NIFTY,2.5,0.0,100
