sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,group,lrc_dev,gate,bps,inside_pct
-2.4599855483899975,-0.36110490044195076,0.5650507930850116,1254,0.5869218500797448,10.113237639553429,84,0.005704364577708473,-0.018853501470391415,-1.8288625645499974,-3.73883886791932,22444,BANKNIFTY,NSE 1h,2.0,False,2.0,0.8985029406522902
-2.8014147724262375,-0.3974680868270619,0.5650507930850116,1254,0.5582137161084529,10.113237639553429,84,0.005386067133107203,-0.018213625317047583,-2.2146625645499975,-4.10543886791932,22444,BANKNIFTY,NSE 1h,2.0,False,5.0,0.8985029406522902
-2.2086088907974326,-0.3311054049501347,0.5554713954731777,1234,0.5996758508914101,10.10291734197731,84,0.0060165687597552265,-0.01909248489141626,-1.5447807446511683,-3.434645909489595,22444,BANKNIFTY,NSE 1h,3.0,True,0.0,0.9790144359294244
-2.4335336933729033,-0.3563257230196212,0.5554713954731777,1234,0.5883306320907618,10.10291734197731,84,0.005728543508672848,-0.018960530002829233,-1.7971807446511683,-3.6758459094895954,22444,BANKNIFTY,NSE 1h,3.0,True,2.0,0.9790144359294244
-2.7715383903907282,-0.3923932330013218,0.5554713954731777,1234,0.559967585089141,10.10291734197731,84,0.005406913534762827,-0.018323395776541213,-2.1757807446511683,-4.037645909489595,22444,BANKNIFTY,NSE 1h,3.0,True,5.0,0.9790144359294244
-2.232785564085108,-0.3356580817026403,0.5650507930850116,1254,0.5988835725677831,10.113237639553429,84,0.0059867313833182265,-0.01901021212990319,-1.5716625645499975,-3.49443886791932,22444,BANKNIFTY,NSE 1h,3.0,False,0.0,0.9790144359294244
-2.4599855483899975,-0.36110490044195076,0.5650507930850116,1254,0.5869218500797448,10.113237639553429,84,0.005704364577708473,-0.018853501470391415,-1.8288625645499974,-3.73883886791932,22444,BANKNIFTY,NSE 1h,3.0,False,2.0,0.9790144359294244
-2.8014147724262375,-0.3974680868270619,0.5650507930850116,1254,0.5582137161084529,10.113237639553429,84,0.005386067133107203,-0.018213625317047583,-2.2146625645499975,-4.10543886791932,22444,BANKNIFTY,NSE 1h,3.0,False,5.0,0.9790144359294244
-1.7914456436810253,-0.18967319513086028,0.19845893629017103,198,0.5707070707070707,10.666666666666666,55,0.007380705454875502,-0.02450220162914658,-0.3514389241657904,-0.8972284979107371,10642,RELIANCE,NSE 1h,0.5,True,0.0,0.2632024055628641
-1.9108651559858394,-0.20013350582514025,0.19845893629017103,198,0.5656565656565656,10.666666666666666,55,0.007044420284739425,-0.024614447604271433,-0.39143892416579046,-0.9364284979107368,10642,RELIANCE,NSE 1h,0.5,True,2.0,0.2632024055628641
-2.0904175409091397,-0.2155751510369481,0.19845893629017103,198,0.5404040404040404,10.666666666666666,55,0.006761142137734444,-0.02384735858037487,-0.45143892416579046,-0.995228497910737,10642,RELIANCE,NSE 1h,0.5,True,5.0,0.2632024055628641
-2.5900027260779925,-0.4349831716260073,0.5825972561548581,626,0.5942492012779552,9.89297124600639,73,0.007127086270323854,-0.02359963597632769,-0.941444223914449,-2.401587221512311,10642,RELIANCE,NSE 1h,0.5,False,0.0,0.2632024055628641
-2.7917128887961833,-0.45774148264706827,0.5825972561548581,626,0.5910543130990416,9.89297124600639,73,0.006764200671516672,-0.023813225366749718,-1.065444223914449,-2.5279872215123103,10642,RELIANCE,NSE 1h,0.5,False,2.0,0.2632024055628641
-3.0952704826565185,-0.4901796118923522,0.5825972561548581,626,0.5686900958466453,9.89297124600639,73,0.006418953164142745,-0.023163625080968805,-1.251444223914449,-2.7175872215123107,10642,RELIANCE,NSE 1h,0.5,False,5.0,0.2632024055628641
-2.223435407768707,-0.2811976040197622,0.33997368915617365,344,0.5784883720930233,10.511627906976743,69,0.007265388183607584,-0.023452955899720476,-0.6368487338915259,-1.318017623030034,10642,RELIANCE,NSE 1h,1.0,True,0.0,0.4968051118210863
-2.3878921489708,-0.2972646506012332,0.33997368915617365,344,0.5784883720930233,10.511627906976743,69,0.006865388183607582,-0.023852955899720477,-0.7032487338915259,-1.3892176230300342,10642,RELIANCE,NSE 1h,1.0,True,2.0,0.4968051118210863
-2.6353841686701736,-0.3207000972280732,0.33997368915617365,344,0.5552325581395349,10.511627906976743,69,0.0065427936956714535,-0.023193071586894164,-0.802848733891526,-1.496017623030034,10642,RELIANCE,NSE 1h,1.0,True,5.0,0.4968051118210863
-2.5900027260779925,-0.4349831716260073,0.5825972561548581,626,0.5942492012779552,9.89297124600639,73,0.007127086270323854,-0.02359963597632769,-0.941444223914449,-2.401587221512311,10642,RELIANCE,NSE 1h,1.0,False,0.0,0.4968051118210863
-2.7917128887961833,-0.45774148264706827,0.5825972561548581,626,0.5910543130990416,9.89297124600639,73,0.006764200671516672,-0.023813225366749718,-1.065444223914449,-2.5279872215123103,10642,RELIANCE,NSE 1h,1.0,False,2.0,0.4968051118210863
-3.0952704826565185,-0.4901796118923522,0.5825972561548581,626,0.5686900958466453,9.89297124600639,73,0.006418953164142745,-0.023163625080968805,-1.251444223914449,-2.7175872215123107,10642,RELIANCE,NSE 1h,1.0,False,5.0,0.4968051118210863
-2.410540765111889,-0.35807847936557496,0.44925765833489945,468,0.5811965811965812,10.2008547008547,69,0.0074124199038317126,-0.02348068759542875,-0.8902214697158604,-1.6958150851459488,10642,RELIANCE,NSE 1h,1.5,True,0.0,0.7017477917684646
-2.590888096901323,-0.3775151186275752,0.44925765833489945,468,0.5790598290598291,10.2008547008547,69,0.007038640373346608,-0.023759939573800713,-0.9814214697158601,-1.7918150851459491,10642,RELIANCE,NSE 1h,1.5,True,2.0,0.7017477917684646
-2.8621929000579565,-0.4055790348573108,0.44925765833489945,468,0.5534188034188035,10.2008547008547,69,0.006751332371068417,-0.022979098751045597,-1.1182214697158603,-1.9358150851459488,10642,RELIANCE,NSE 1h,1.5,True,5.0,0.7017477917684646
-2.5900027260779925,-0.4349831716260073,0.5825972561548581,626,0.5942492012779552,9.89297124600639,73,0.007127086270323854,-0.02359963597632769,-0.941444223914449,-2.401587221512311,10642,RELIANCE,NSE 1h,1.5,False,0.0,0.7017477917684646
-2.7917128887961833,-0.45774148264706827,0.5825972561548581,626,0.5910543130990416,9.89297124600639,73,0.006764200671516672,-0.023813225366749718,-1.065444223914449,-2.5279872215123103,10642,RELIANCE,NSE 1h,1.5,False,2.0,0.7017477917684646
-3.0952704826565185,-0.4901796118923522,0.5825972561548581,626,0.5686900958466453,9.89297124600639,73,0.006418953164142745,-0.023163625080968805,-1.251444223914449,-2.7175872215123107,10642,RELIANCE,NSE 1h,1.5,False,5.0,0.7017477917684646
-2.5836868663156407,-0.41439248467599377,0.5293177974065025,557,0.5763016157989228,10.100538599640933,69,0.007352397135057396,-0.02322589582115387,-0.9624432736595616,-2.1587486597793273,10642,RELIANCE,NSE 1h,2.0,True,0.0,0.8671302386769404
-2.774623987963261,-0.4354294840217037,0.5293177974065025,557,0.5727109515260324,10.100538599640933,69,0.006996857793900061,-0.023428527603752136,-1.0716432736595616,-2.272348659779327,10642,RELIANCE,NSE 1h,2.0,True,2.0,0.8671302386769404
-3.061910844771763,-0.46558384708175143,0.5293177974065025,557,0.5493716337522442,10.100538599640933,69,0.006681784526256323,-0.022800071707065037,-1.2354432736595615,-2.442748659779327,10642,RELIANCE,NSE 1h,2.0,True,5.0,0.8671302386769404
