sharpe,cagr,exposure,trades,win_rate,avg_bars,max_bars,avg_win,avg_loss,long_pnl,short_pnl,bars,inst,dir,bps
-11.162377297847245,-0.9510698026050394,0.17036271377560608,1515,0.0,1.1966996699669967,37,,-0.011957714084544801,-9.579407070262803,-8.536529767822568,10642,TCS,BREAK,0.0
-11.468072756032843,-0.9557377260835593,0.17036271377560608,1515,0.0,1.1966996699669967,37,,-0.0123577140845448,-9.902207070262804,-8.819729767822569,10642,TCS,BREAK,2.0
-11.916355956916929,-0.9619195197354011,0.17036271377560608,1515,0.0,1.1966996699669967,37,,-0.0129577140845448,-10.386407070262804,-9.24452976782257,10642,TCS,BREAK,5.0
-12.636080048035607,-0.9703671751904772,0.17036271377560608,1515,0.0,1.1966996699669967,37,,-0.0139577140845448,-11.193407070262804,-9.952529767822568,10642,TCS,BREAK,10.0
-1.366744140445578,-0.23759126492036597,0.47895132493892123,611,0.662847790507365,8.333878887070377,50,0.005819377714696294,-0.01893788687247959,-0.5559292059253083,-0.988427515353488,10642,ITC,FADE,0.0
-1.587288215192858,-0.26759205627153854,0.47895132493892123,611,0.646481178396072,8.333878887070377,50,0.0055607865698685515,-0.018450312112855898,-0.6791292059253083,-1.109627515353488,10642,ITC,FADE,2.0
-1.9194446704623322,-0.3104047006781401,0.47895132493892123,611,0.6252045826513911,8.333878887070377,50,0.005136606921219267,-0.01798052648552208,-0.8639292059253084,-1.2914275153534882,10642,ITC,FADE,5.0
-2.4754958566285783,-0.37629539355146974,0.47895132493892123,611,0.5891980360065466,8.333878887070377,50,0.00441272567738271,-0.01735035045871144,-1.1719292059253084,-1.5944275153534884,10642,ITC,FADE,10.0
-10.224906123107639,-0.9587402104184117,0.15918060514940802,1566,0.0,1.0817369093231162,21,,-0.012187614566247394,-9.937808447316508,-9.147995963426908,10642,ITC,BREAK,0.0
-10.510742502889947,-0.9628031127182923,0.15918060514940802,1566,0.0,1.0817369093231162,21,,-0.012587614566247391,-10.259808447316509,-9.452395963426907,10642,ITC,BREAK,2.0
-10.931825148965784,-0.9681610317497444,0.15918060514940802,1566,0.0,1.0817369093231162,21,,-0.013187614566247393,-10.74280844731651,-9.908995963426907,10642,ITC,BREAK,5.0
-11.61295729472511,-0.9754340098242804,0.15918060514940802,1566,0.0,1.0817369093231162,21,,-0.014187614566247392,-11.547808447316509,-10.669995963426908,10642,ITC,BREAK,10.0
-0.9665824737659701,-0.18426901454795017,0.47707176639934196,559,0.6708407871198568,8.300536672629695,42,0.006722227973088103,-0.019386306343730585,-0.16024386824289455,-0.8860010090954948,9726,LT,FADE,0.0
-1.1793702414554545,-0.21637473971735763,0.47707176639934196,559,0.6636851520572451,8.300536672629695,42,0.006392964737198686,-0.01937039784488884,-0.27064386824289455,-0.9992010090954948,9726,LT,FADE,2.0
-1.4998896781382975,-0.2621907425061468,0.47707176639934196,559,0.6457960644007156,8.300536672629695,42,0.005961479244206706,-0.01897645901261116,-0.43624386824289463,-1.1690010090954948,9726,LT,FADE,5.0
-2.0366478927275784,-0.33270254735145927,0.47707176639934196,559,0.6064400715563506,8.300536672629695,42,0.005315604702264345,-0.018028340324572737,-0.7122438682428947,-1.452001009095495,9726,LT,FADE,10.0
-11.000457231427813,-0.9697201648782054,0.15700185070943862,1415,0.0,1.0791519434628976,22,,-0.013549485543586736,-9.611177495602128,-9.5613445485731,9726,LT,BREAK,0.0
-11.269378615091457,-0.9726716366616662,0.15700185070943862,1415,0.0,1.0791519434628976,22,,-0.013949485543586732,-9.890777495602128,-9.8477445485731,9726,LT,BREAK,2.0
-11.66516880796166,-0.9765692078524416,0.15700185070943862,1415,0.0,1.0791519434628976,22,,-0.014549485543586736,-10.310177495602128,-10.277344548573101,9726,LT,BREAK,5.0
-12.304498235910762,-0.9818713979433603,0.15700185070943862,1415,0.0,1.0791519434628976,22,,-0.015549485543586735,-11.009177495602128,-10.9933445485731,9726,LT,BREAK,10.0
-0.7125303622512354,-0.1716178910833132,0.489749858943013,627,0.6730462519936204,8.304625199362041,47,0.008079207624125586,-0.02148305943902283,-0.08089536772222014,-0.913706199896464,10634,AXISBANK,FADE,0.0
-0.895930581243593,-0.20505191917555293,0.489749858943013,627,0.6586921850079744,8.304625199362041,47,0.007851061677193764,-0.020971448786447234,-0.20449536772222004,-1.040906199896464,10634,AXISBANK,FADE,2.0
-1.1722780396272672,-0.2527014269150145,0.489749858943013,627,0.6475279106858054,8.304625199362041,47,0.007383181299763296,-0.0209012360874325,-0.3898953677222201,-1.2317061998964642,10634,AXISBANK,FADE,5.0
-1.6355705470881252,-0.3258830148240327,0.489749858943013,627,0.6267942583732058,8.304625199362041,47,0.006611510640490129,-0.0207133557663731,-0.6988953677222203,-1.5497061998964643,10634,AXISBANK,FADE,10.0
-11.261629469535466,-0.9854599955413648,0.166353206695505,1577,0.0,1.121116043119848,33,,-0.016032869166987356,-12.96199279627934,-12.32184188005972,10634,AXISBANK,BREAK,0.0
-11.493973243086389,-0.9869053920838072,0.166353206695505,1577,0.0,1.121116043119848,33,,-0.016432869166987357,-13.28119279627934,-12.63344188005972,10634,AXISBANK,BREAK,2.0
-11.836876517037135,-0.9888090427617151,0.166353206695505,1577,0.0,1.121116043119848,33,,-0.017032869166987357,-13.759992796279342,-13.100841880059718,10634,AXISBANK,BREAK,5.0
-12.39336335948712,-0.9913878306385301,0.166353206695505,1577,0.0,1.121116043119848,33,,-0.018032869166987358,-14.557992796279342,-13.879841880059718,10634,AXISBANK,BREAK,10.0
-0.2962619305075896,-0.07581284916051342,0.4643863935350498,640,0.6953125,7.721875,42,0.007323835573742437,-0.018597118278168134,-0.022291597144737996,-0.34503963678266314,10642,KOTAKBANK,FADE,0.0
-0.5093493792044993,-0.11382034260885206,0.4643863935350498,640,0.6828125,7.721875,42,0.007053788694199691,-0.018255354154151065,-0.14709159714473805,-0.47623963678266296,10642,KOTAKBANK,FADE,2.0
-0.8308665835181297,-0.16793409415692354,0.4643863935350498,640,0.671875,7.721875,42,0.0065616407817801385,-0.01823255604806124,-0.334291597144738,-0.6730396367826631,10642,KOTAKBANK,FADE,5.0
-1.370819331578902,-0.25091212665057055,0.4643863935350498,640,0.628125,7.721875,42,0.005979548943853195,-0.017021470207379773,-0.6462915971447379,-1.001039636782663,10642,KOTAKBANK,FADE,10.0
-10.908233978884486,-0.9673917765644733,0.15551588047359519,1518,0.0006587615283267457,1.0810276679841897,20,0.00011477014534932386,-0.013498287420448802,-10.737945359352391,-9.738841887323092,10642,KOTAKBANK,BREAK,0.0
-11.174633030802557,-0.9705121295286063,0.15551588047359519,1518,0.0,1.0810276679841897,20,,-0.013889319661841558,-11.05834535935239,-10.025641887323093,10642,KOTAKBANK,BREAK,2.0
