inst,pnl,bars,side
NIFTY,-0.017779083664900733,30,-1.0
NIFTY,-0.019435288263470563,22,-1.0
NIFTY,0.0023888475114529173,4,-1.0
NIFTY,-0.0014689511516783682,8,1.0
NIFTY,-0.012793932442796856,33,-1.0
NIFTY,0.0004053179756413067,9,1.0
NIFTY,0.0023536668372225455,7,-1.0
NIFTY,0.001144055538472621,8,-1.0
NIFTY,0.0016047229770081225,5,1.0
NIFTY,-0.0027508648995202487,12,1.0
NIFTY,-0.0013281548523206349,10,-1.0
NIFTY,-0.0013984859113464034,10,1.0
NIFTY,0.004008470888792039,5,1.0
NIFTY,0.0038453722123776768,2,1.0
NIFTY,0.00042576429252479646,7,-1.0
NIFTY,0.0021281363117109904,5,1.0
NIFTY,-0.006010846300987657,14,-1.0
NIFTY,-0.003269466804461899,14,-1.0
NIFTY,0.004032172221500476,2,1.0
NIFTY,0.002932507148559233,5,1.0
NIFTY,0.0020884387760523996,4,1.0
NIFTY,0.003748567644440896,3,1.0
NIFTY,0.0025892736064945824,4,1.0
NIFTY,-0.011837196073855364,23,-1.0
NIFTY,0.0013889456632223344,4,1.0
NIFTY,0.0007874481169627169,7,1.0
NIFTY,0.0023101972503139587,1,1.0
NIFTY,0.0023088740413906863,3,1.0
NIFTY,0.0017742768932555066,4,1.0
NIFTY,0.001880941982823457,4,-1.0
NIFTY,0.001174948876197553,7,1.0
NIFTY,0.0028116489202213487,3,-1.0
NIFTY,-0.015790108336035003,28,-1.0
NIFTY,-0.010402788066507644,27,-1.0
NIFTY,0.0025005953699931325,5,1.0
NIFTY,-0.018870731389771328,29,1.0
NIFTY,0.0029381299429417644,2,-1.0
NIFTY,0.002073401856896777,1,-1.0
NIFTY,-0.01195642968828182,20,-1.0
NIFTY,-0.001514867760409476,15,-1.0
NIFTY,-0.0009471098172082384,5,1.0
NIFTY,-0.020921105800152464,21,1.0
NIFTY,-0.007746157109309933,25,-1.0
NIFTY,0.004039125234663491,2,1.0
NIFTY,-0.014943003472821683,23,-1.0
NIFTY,-0.007701994189342717,20,1.0
NIFTY,0.0033346836532678692,1,1.0
NIFTY,-0.009612588492678554,21,1.0
NIFTY,0.004190104966433568,1,-1.0
NIFTY,-8.345353657559682e-05,7,-1.0
NIFTY,-0.020083543261235105,26,1.0
NIFTY,0.0038726442917750925,1,1.0
NIFTY,-0.0002228905668395221,8,1.0
NIFTY,0.0024245016123850124,7,-1.0
NIFTY,-0.001987959245900418,18,-1.0
NIFTY,0.0018105669771328132,4,-1.0
NIFTY,-0.0007798697770627595,12,-1.0
NIFTY,5.1951612278337356e-05,9,1.0
NIFTY,-0.012346340567600428,26,-1.0
NIFTY,0.005989465158984789,1,1.0
NIFTY,-0.03800773250284821,21,1.0
NIFTY,0.005512898229472043,1,1.0
NIFTY,-0.0016022960989738003,7,1.0
NIFTY,0.004269912426115789,7,-1.0
NIFTY,-0.018174077216450875,21,1.0
NIFTY,-0.00499269103216988,11,1.0
NIFTY,0.002979853243474536,3,-1.0
NIFTY,0.0023820206327601913,6,-1.0
NIFTY,0.006881894617037244,2,1.0
NIFTY,-0.00611754211296415,23,-1.0
NIFTY,0.002196042744691087,9,-1.0
NIFTY,0.0032070030462830156,3,-1.0
NIFTY,-0.004999171590379876,15,-1.0
